locationname,datetime,temp,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility
HHR,2022-09-01T00:00:00,78.2,4,0,0.017453293,1007.6,0.5,9.9
HHR,2022-09-01T01:00:00,78.2,4.5,0,0,1007.4,0.5,9.9
HHR,2022-09-01T02:00:00,75.8,5.1,0,2.268928025,1006.9,0.5,9.9
HHR,2022-09-01T03:00:00,78.2,4.3,0,0,1006.4,0.5,9.9
HHR,2022-09-01T04:00:00,78.1,4.9,0,6.265732008,1006,0.5,9.9
HHR,2022-09-01T05:00:00,75.8,7.2,1.519936,5.061454825,1006.1,0.5,9.9
HHR,2022-09-01T06:00:00,73.1,3.8,0,0,1007,0.3,9.9
HHR,2022-09-01T07:00:00,74,8.9,0,0.017453293,1007.5,0.5,8.7
HHR,2022-09-01T08:00:00,75.8,6.7,3.084576,1.919862175,1007.9,0.3,9.9
HHR,2022-09-01T09:00:00,78.2,5.1,2.101088,2.617993875,1008,0.3,8.7
HHR,2022-09-01T10:00:00,83.9,7.2,2.101088,2.617993875,1008,0.3,9.9
HHR,2022-09-01T11:00:00,83,6.7,3.621024,2.7925268,1008.4,0.3,9.9
HHR,2022-09-01T12:00:00,87.1,5.4,2.592832,3.4906585,1008,0.3,9.9
HHR,2022-09-01T13:00:00,89,6,3.084576,4.712388975,1007.2,0.3,9.9
HHR,2022-09-01T14:00:00,88,8.1,3.621024,4.1887902,1007,0.3,9.9
HHR,2022-09-01T15:00:00,89.9,6.3,2.592832,4.206243493,1006.4,0.3,9.9
HHR,2022-09-01T16:00:00,92,6.9,3.621024,4.8869219,1005.6,0.3,9.9
HHR,2022-09-01T17:00:00,84.8,6.7,3.621024,4.363323125,1005.5,0.3,9.9
HHR,2022-09-01T18:00:00,83.9,6.9,2.101088,4.712388975,1005.5,0.3,9.9
HHR,2022-09-01T19:00:00,84.8,6.5,2.101088,4.712388975,1005.4,0.2,9.9
HHR,2022-09-01T20:00:00,80,7.8,2.101088,4.363323125,1006,0.2,9.9
HHR,2022-09-01T21:00:00,79,4.3,0,0,1006.7,0.2,9.9
HHR,2022-09-01T22:00:00,78.2,5.8,1.475232,2.7925268,1007.1,0.2,9.9
HHR,2022-09-01T23:00:00,78.2,9.2,1.519936,2.44346095,1007.1,0.2,9.9
HHR,2022-09-02T00:00:00,78.2,7.6,2.101088,1.74532925,1007.1,0.2,9.9
HHR,2022-09-02T01:00:00,77,10.1,1.519936,1.74532925,1007.4,0.2,9.9
HHR,2022-09-02T02:00:00,75.8,8.9,2.592832,2.0943951,1007.6,88.6,9.9
HHR,2022-09-02T03:00:00,74.9,9.2,2.101088,1.570796325,1007.9,88.6,9.9
HHR,2022-09-02T04:00:00,74,5.8,2.101088,1.919862175,1008,99.5,9.9
HHR,2022-09-02T05:00:00,74.9,4,2.101088,1.919862175,1008,88.7,9.9
HHR,2022-09-02T06:00:00,74,2,1.519936,1.919862175,1008.2,99.6,8.7
HHR,2022-09-02T07:00:00,74,2.5,0,0,1008.6,49.8,6.8
HHR,2022-09-02T08:00:00,78.2,7.4,0,0.872664625,1008.6,0.2,8.7
HHR,2022-09-02T09:00:00,83.9,7.8,2.101088,1.74532925,1008.6,0.2,9.9
HHR,2022-09-02T10:00:00,86,5.4,0,0,1008.8,0,9.9
HHR,2022-09-02T11:00:00,89.1,6.9,0.044704,6.265732008,1008.6,0.2,9.9
HHR,2022-09-02T12:00:00,92,4.7,3.621024,4.8869219,1008.4,0.2,9.9
HHR,2022-09-02T13:00:00,89,18.3,5.096256,4.53785605,1008.1,0.2,9.9
HHR,2022-09-02T14:00:00,88,8.1,4.604512,4.363323125,1008,0.2,9.9
HHR,2022-09-02T15:00:00,87.1,11,4.604512,4.53785605,1007.6,0.2,9.9
HHR,2022-09-02T16:00:00,84.8,8.9,4.112768,4.53785605,1007.1,0.3,9.9
HHR,2022-09-02T17:00:00,83,8.1,3.621024,4.53785605,1006.7,0.3,9.9
HHR,2022-09-02T18:00:00,80,8.7,5.096256,4.712388975,1006.7,0.3,9.9
HHR,2022-09-02T19:00:00,80.9,8.5,2.101088,5.061454825,1006.8,0.3,9.9
HHR,2022-09-02T20:00:00,78.1,5.4,2.101088,4.1887902,1007.3,0.2,9.9
HHR,2022-09-02T21:00:00,77,1.6,0,0,1008.5,0.2,9.9
HHR,2022-09-02T22:00:00,79.1,5.1,0,0,1009.1,0.2,9.9
HHR,2022-09-02T23:00:00,78.2,5.6,1.475232,2.7925268,1009.5,0.2,9.9
HHR,2022-09-03T00:00:00,75.8,9.4,2.592832,1.919862175,1010.1,0,9.9
HHR,2022-09-03T01:00:00,75.8,4.3,0,6.2831853,1009.7,0,9.9
HHR,2022-09-03T02:00:00,75.8,1.8,0,5.145230629,1009.4,0,9.9
HHR,2022-09-03T03:00:00,75.8,2.7,0,0.017453293,1009.5,0,9.9
HHR,2022-09-03T04:00:00,77,1.3,0,0,1009.1,0,9.9
HHR,2022-09-03T05:00:00,75.8,1.6,0,5.410520675,1008.7,0.3,9.9
HHR,2022-09-03T06:00:00,77,1.3,0,6.265732008,1008.8,0.5,9.9
HHR,2022-09-03T07:00:00,75.8,2.5,1.519936,5.061454825,1009.3,0.5,9.9
HHR,2022-09-03T08:00:00,77,1.3,0,0,1010.2,0.3,9.9
HHR,2022-09-03T09:00:00,83,5.1,0,6.265732008,1010.4,0.2,9.9
HHR,2022-09-03T10:00:00,88.1,3.1,0,0,1010.5,0.2,9.9
HHR,2022-09-03T11:00:00,92.9,5.4,0.044704,6.265732008,1010.7,0.2,9.9
HHR,2022-09-03T12:00:00,92,8.5,4.604512,4.712388975,1011,0.2,9.9
HHR,2022-09-03T13:00:00,91.1,11.4,5.096256,4.363323125,1010.4,0.2,9.9
HHR,2022-09-03T14:00:00,91.1,10.7,4.112768,5.061454825,1010,0.2,9.9
HHR,2022-09-03T15:00:00,91.1,18.3,5.096256,4.53785605,1009.6,0.2,9.9
HHR,2022-09-03T16:00:00,89.9,12.1,5.096256,4.712388975,1009.4,0.3,9.9
HHR,2022-09-03T17:00:00,86,13.2,5.096256,4.8869219,1009.2,0.3,9.9
HHR,2022-09-03T18:00:00,88,14.3,4.112768,4.8869219,1009,0.3,9.9
HHR,2022-09-03T19:00:00,82.1,11,3.084576,5.061454825,1009.1,0.3,9.9
HHR,2022-09-03T20:00:00,79.1,13.9,2.101088,4.363323125,1009.3,0.2,9.9
HHR,2022-09-03T21:00:00,79.1,7.6,1.519936,3.665191425,1010.3,0.2,9.9
HHR,2022-09-03T22:00:00,78.2,2.9,1.475232,3.83972435,1010.9,0,9.9
HHR,2022-09-03T23:00:00,79.1,2.9,1.475232,3.4906585,1010.9,0,9.9
HHR,2022-09-04T00:00:00,80,1.3,0,6.265732008,1010.9,0,9.9
HHR,2022-09-04T01:00:00,80.1,3.6,0,0,1010.8,0,9.9
HHR,2022-09-04T02:00:00,80.9,2.2,0,1.74532925,1010.7,0,9.9
HHR,2022-09-04T03:00:00,80.9,3.4,2.101088,2.967059725,1011.2,0,9.9
HHR,2022-09-04T04:00:00,80.1,3.1,1.519936,6.108652375,1010.9,0.2,9.9
HHR,2022-09-04T05:00:00,82.1,4.9,0,0,1011.6,0,9.9
HHR,2022-09-04T06:00:00,81,3.8,0,6.2831853,1011.2,0.2,9.9
HHR,2022-09-04T07:00:00,82.1,6.3,0,0,1010.9,0.3,9.9
HHR,2022-09-04T08:00:00,88.1,9.4,0,0.6981317,1010.9,0.5,9.9
HHR,2022-09-04T09:00:00,95,11,0,0,1010.7,0.3,9.9
HHR,2022-09-04T10:00:00,98.9,8.9,1.519936,6.010913937,1010.2,0.5,9.9
HHR,2022-09-04T11:00:00,102.7,5.8,0.044704,4.53785605,1010,0.5,9.9
HHR,2022-09-04T12:00:00,101.9,4,2.592832,4.8869219,1009.2,0.3,9.9
HHR,2022-09-04T13:00:00,102.8,9.6,3.12928,5.061454825,1008.6,0.5,9.9
HHR,2022-09-04T14:00:00,100.1,8.3,3.621024,4.014257275,1008.2,0.3,9.9
HHR,2022-09-04T15:00:00,96.1,11.6,4.112768,4.1887902,1007.8,0.3,9.9
HHR,2022-09-04T16:00:00,89.1,7.8,3.621024,2.617993875,1007.9,0.3,9.9
HHR,2022-09-04T17:00:00,92,8.3,4.112768,4.014257275,1008,0.3,9.9
HHR,2022-09-04T18:00:00,89,7.8,1.519936,4.1887902,1008.6,0.3,9.9
HHR,2022-09-04T19:00:00,86,8.7,2.592832,4.53785605,1008.2,0.3,9.9
HHR,2022-09-04T20:00:00,83,7.8,3.084576,2.44346095,1008.5,0.3,9.9
HHR,2022-09-04T21:00:00,82.1,8.7,2.592832,2.44346095,1008.8,0.2,9.9
HHR,2022-09-04T22:00:00,80.1,7.2,2.592832,2.44346095,1009.1,0.2,9.9
HHR,2022-09-04T23:00:00,79.1,8.9,2.101088,2.617993875,1009.1,0.2,9.9
HHR,2022-09-05T00:00:00,78.2,9.8,1.519936,3.473205208,1008.4,0.2,9.9
HHR,2022-09-05T01:00:00,78.2,8.7,2.101088,1.919862175,1008.7,0.2,9.9
HHR,2022-09-05T02:00:00,78.2,4.3,1.475232,4.8869219,1007.7,0.2,9.9
HHR,2022-09-05T03:00:00,79.1,5.1,2.592832,1.74532925,1007.8,0.2,9.9
HHR,2022-09-05T04:00:00,79.1,5.6,0,0.017453293,1007.8,0.2,9.9
HHR,2022-09-05T05:00:00,77,5.1,2.101088,2.617993875,1007.6,0.2,9.9
HHR,2022-09-05T06:00:00,78.2,2.5,0,0,1007.8,0.2,9.9
HHR,2022-09-05T07:00:00,77,9.8,2.101088,2.7925268,1008.4,0.2,9.9
HHR,2022-09-05T08:00:00,78.2,6.5,0,0.017453293,1008.9,0.3,9.9
HHR,2022-09-05T09:00:00,82.1,5.6,2.101088,2.617993875,1008.7,0.3,9.9
HHR,2022-09-05T10:00:00,84.8,6.7,2.101088,2.7925268,1008.6,0.3,9.9
HHR,2022-09-05T11:00:00,89.1,6.5,0,0,1008.5,0.2,9.9
HHR,2022-09-05T12:00:00,92.9,5.4,1.519936,3.14159265,1007.9,0.2,9.9
HHR,2022-09-05T13:00:00,91.1,7.6,5.096256,4.53785605,1007.6,0.2,9.9
HHR,2022-09-05T14:00:00,89,11,5.677408,4.363323125,1007.1,0.2,9.9
HHR,2022-09-05T15:00:00,88,8.5,4.112768,4.8869219,1006.3,0.2,9.9
HHR,2022-09-05T16:00:00,87.2,9.8,5.096256,4.363323125,1005.9,0.2,9.9
HHR,2022-09-05T17:00:00,88,10.5,3.621024,4.014257275,1005.5,0.2,9.9
HHR,2022-09-05T18:00:00,87.1,10.7,3.621024,4.53785605,1005.5,0.2,9.9
HHR,2022-09-05T19:00:00,83.9,4.7,2.592832,4.712388975,1005.7,0.2,9.9
HHR,2022-09-05T20:00:00,80.9,4.3,1.519936,4.1887902,1006.3,0.2,9.9
HHR,2022-09-05T21:00:00,79.1,8.3,3.57632,4.53785605,1007.2,0,9.9
HHR,2022-09-05T22:00:00,78.2,6.7,2.592832,4.363323125,1008.1,0,9.9
HHR,2022-09-05T23:00:00,77,3.8,2.592832,4.53785605,1008.2,0.2,9.9
HHR,2022-09-06T00:00:00,75.8,4.9,2.592832,4.1887902,1008.6,88.6,9.9
HHR,2022-09-06T01:00:00,75.8,7.8,2.101088,4.53785605,1008.2,88.6,9.9
HHR,2022-09-06T02:00:00,75.8,9.4,0,6.265732008,1008.3,88.6,9.9
