,time,tail_number,location,speed,soc,flight_direction,event,latitude,longitude,altitude
0,1686873600000,aircraft0,LAX_PARK110,0.0,80.0,DTLA_LAX,agent_creation,33.9480838281128,-118.374584399349,0.0
1,1686873600001,aircraft1,LAX_PARK19,0.0,80.0,DTLA_LAX,agent_creation,33.9482109672371,-118.374104950904,0.0
2,1686873600002,aircraft2,LAX_PARK18,0.0,80.0,DTLA_LAX,agent_creation,33.9480873219462,-118.373636486709,0.0
3,1686873600003,aircraft3,LAX_PARK17,0.0,80.0,DTLA_LAX,agent_creation,33.9478228583554,-118.373455030273,0.0
4,1686873600004,aircraft4,LAX_PARK16,0.0,80.0,DTLA_LAX,agent_creation,33.9475600077873,-118.373476475657,0.0
5,1686873600005,aircraft5,LAX_PARK15,0.0,80.0,DTLA_LAX,agent_creation,33.9473739535157,-118.373789589065,0.0
6,1686873600006,aircraft6,LAX_PARK14,0.0,80.0,DTLA_LAX,agent_creation,33.947282463311,-118.374062343302,0.0
7,1686873600007,aircraft7,DTLA_PARK110,0.0,80.0,LAX_DTLA,agent_creation,34.0459507853893,-118.267114419489,203.3
8,1686873600008,aircraft8,DTLA_PARK19,0.0,80.0,LAX_DTLA,agent_creation,34.0458116181617,-118.267477108782,203.3
9,1686873600009,aircraft9,DTLA_PARK18,0.0,80.0,LAX_DTLA,agent_creation,34.0456240445805,-118.267528226065,203.3
10,1686873600010,aircraft10,DTLA_PARK17,0.0,80.0,LAX_DTLA,agent_creation,34.04539,-118.26716,203.3
11,1686873600011,aircraft11,DTLA_PARK16,0.0,80.0,LAX_DTLA,agent_creation,34.04535,-118.26695,203.3
12,1686873600012,aircraft12,DTLA_PARK15,0.0,80.0,LAX_DTLA,agent_creation,34.0455564042085,-118.267367222619,203.3
13,1686873600013,aircraft13,DTLA_PARK14,0.0,80.0,LAX_DTLA,agent_creation,34.0453990566845,-118.266788445842,203.3
14,1686873789006,aircraft0,LAX_PARK110,0.0,80.0,LAX_DTLA,aircraft_allocation,33.9480838281128,-118.374584399349,0.0
15,1686873909000,aircraft0,LAX_PARK110,0.0,80.0,LAX_DTLA,pushback,33.9480838281128,-118.374584399349,0.0
16,1686873939518,aircraft0,LAX_FATO1,0.0,80.0,LAX_DTLA,fato_arrival,33.9477885,-118.3740864,0.0
17,1686873954518,aircraft0,LAX_hover_fix,0.0,78.79,LAX_DTLA,hover_climb_end,33.9478739,-118.3742032,15.0
18,1686873974518,aircraft0,LAX_departure_fix,18.0,77.78,LAX_DTLA,climb_transition_end,33.94879309,-118.3579396,45.72
19,1686873994518,aircraft0,LAX_DTLA_waypoint_1,45.0,77.07000000000001,LAX_DTLA,climb_end,33.95019761,-118.3466731,106.68
20,1686874022518,aircraft0,LAX_DTLA_waypoint_2,56.0,76.64,LAX_DTLA,cruise,33.95238414,-118.3291335,274.32
21,1686874091518,aircraft0,LAX_DTLA_waypoint_3,67.0,75.39,LAX_DTLA,cruise,33.9583914,-118.2782469,274.32
22,1686874184518,aircraft0,LAX_DTLA_waypoint_4,67.0,73.71,LAX_DTLA,cruise,34.0144737,-118.277665,274.32
23,1686874194518,aircraft0,DTLA_holding_unit,67.0,73.52999999999999,LAX_DTLA,cruise,34.0198109,-118.2739834,274.32
24,1686874207518,aircraft0,DTLA_descend_waypoint,67.0,73.28999999999999,LAX_DTLA,cruise,34.0275555,-118.2710585,160.0
25,1686874237518,aircraft0,DTLA_approach_fix,36.0,73.21,LAX_DTLA,final_approach_fix_arrival,34.0367875,-118.2713117,45.75
26,1686874242518,aircraft0,DTLA_hover_fix,0.0,73.02,LAX_DTLA,hover_fix_arrival,34.04320262,-118.2695702,25.0
27,1686874265006,aircraft1,LAX_PARK19,0.0,80.0,LAX_DTLA,aircraft_allocation,33.9482109672371,-118.374104950904,0.0
28,1686874366518,aircraft0,DTLA_FATO1,0.0,62.959999999999994,LAX_DTLA,landed,34.0456252502567,-118.266982925834,203.3
29,1686874366519,aircraft0,DTLA_FATO1,0.0,62.959999999999994,LAX_DTLA,ready_for_taxi_in,34.0456252502567,-118.266982925834,203.3
30,1686874385000,aircraft1,LAX_PARK19,0.0,80.0,LAX_DTLA,pushback,33.9482109672371,-118.374104950904,0.0
31,1686874397036,aircraft0,DTLA_PARK11,0.0,62.959999999999994,LAX_DTLA,parked,34.0458930008763,-118.266785184232,203.3
32,1686874415518,aircraft1,LAX_FATO1,0.0,80.0,LAX_DTLA,fato_arrival,33.9477885,-118.3740864,0.0
33,1686874430518,aircraft1,LAX_hover_fix,0.0,78.79,LAX_DTLA,hover_climb_end,33.9478739,-118.3742032,15.0
34,1686874450518,aircraft1,LAX_departure_fix,18.0,77.78,LAX_DTLA,climb_transition_end,33.94879309,-118.3579396,45.72
35,1686874470518,aircraft1,LAX_DTLA_waypoint_1,45.0,77.07000000000001,LAX_DTLA,climb_end,33.95019761,-118.3466731,106.68
