passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
1332,0.0,LAX,DTLA
1333,346.0,LAX,DTLA
1334,408.0,LAX,DTLA
1335,468.0,LAX,DTLA
1336,492.0,LAX,DTLA
1337,504.0,LAX,DTLA
1338,558.0,LAX,DTLA
1339,619.0,LAX,DTLA
1340,630.0,LAX,DTLA
1341,639.0,LAX,DTLA
0,765.0,DTLA,LAX
1342,927.0,LAX,DTLA
1343,1145.0,LAX,DTLA
1344,1296.0,LAX,DTLA
1345,1297.0,LAX,DTLA
1346,1444.0,LAX,DTLA
1347,1616.0,LAX,DTLA
1348,1647.0,LAX,DTLA
1349,1655.0,LAX,DTLA
1350,1658.0,LAX,DTLA
1351,1667.0,LAX,DTLA
1352,1674.0,LAX,DTLA
1353,1696.0,LAX,DTLA
1354,1719.0,LAX,DTLA
1355,1723.0,LAX,DTLA
1356,1812.0,LAX,DTLA
1357,1843.0,LAX,DTLA
1,1845.0,DTLA,LAX
1358,1968.0,LAX,DTLA
1359,1988.0,LAX,DTLA
1360,1989.0,LAX,DTLA
1361,1999.0,LAX,DTLA
1362,2003.0,LAX,DTLA
1363,2073.0,LAX,DTLA
1364,2077.0,LAX,DTLA
1365,2161.0,LAX,DTLA
1366,2182.0,LAX,DTLA
1367,2497.0,LAX,DTLA
1368,2503.0,LAX,DTLA
1369,2693.0,LAX,DTLA
1370,2709.0,LAX,DTLA
1371,2741.0,LAX,DTLA
1372,2859.0,LAX,DTLA
1373,3083.0,LAX,DTLA
1374,3249.0,LAX,DTLA
1375,3686.0,LAX,DTLA
2,4030.0,DTLA,LAX
3,4103.0,DTLA,LAX
1376,4261.0,LAX,DTLA
1377,4340.0,LAX,DTLA
4,4450.0,DTLA,LAX
5,4492.0,DTLA,LAX
1378,4804.0,LAX,DTLA
1379,4863.0,LAX,DTLA
1380,5004.0,LAX,DTLA
1381,5144.0,LAX,DTLA
1382,5183.0,LAX,DTLA
6,5921.0,DTLA,LAX
7,5999.0,DTLA,LAX
8,6196.0,DTLA,LAX
1383,6403.0,LAX,DTLA
1384,6414.0,LAX,DTLA
1385,6484.0,LAX,DTLA
1386,6676.0,LAX,DTLA
9,6731.0,DTLA,LAX
10,6775.0,DTLA,LAX
11,6858.0,DTLA,LAX
1387,7527.0,LAX,DTLA
1388,7539.0,LAX,DTLA
1389,7594.0,LAX,DTLA
12,7604.0,DTLA,LAX
1390,7612.0,LAX,DTLA
1391,7994.0,LAX,DTLA
1392,8044.0,LAX,DTLA
1393,8150.0,LAX,DTLA
1394,8241.0,LAX,DTLA
1395,8256.0,LAX,DTLA
13,8418.0,DTLA,LAX
14,8473.0,DTLA,LAX
1396,8794.0,LAX,DTLA
15,9163.0,DTLA,LAX
16,9403.0,DTLA,LAX
17,9548.0,DTLA,LAX
18,9995.0,DTLA,LAX
1397,10477.0,LAX,DTLA
19,10607.0,DTLA,LAX
1398,10637.0,LAX,DTLA
20,10831.0,DTLA,LAX
1399,11326.0,LAX,DTLA
21,11362.0,DTLA,LAX
22,11499.0,DTLA,LAX
23,11530.0,DTLA,LAX
24,11532.0,DTLA,LAX
25,11664.0,DTLA,LAX
26,11674.0,DTLA,LAX
27,11761.0,DTLA,LAX
1400,11848.0,LAX,DTLA
1401,11888.0,LAX,DTLA
1402,11938.0,LAX,DTLA
28,11992.0,DTLA,LAX
29,12136.0,DTLA,LAX
1403,12281.0,LAX,DTLA
1404,12285.0,LAX,DTLA
1405,12326.0,LAX,DTLA
1406,12396.0,LAX,DTLA
30,12423.0,DTLA,LAX
1407,12444.0,LAX,DTLA
1408,12452.0,LAX,DTLA
31,12506.0,DTLA,LAX
32,12543.0,DTLA,LAX
1409,12597.0,LAX,DTLA
1410,12636.0,LAX,DTLA
1411,12641.0,LAX,DTLA
33,12718.0,DTLA,LAX
34,12842.0,DTLA,LAX
35,12869.0,DTLA,LAX
36,12985.0,DTLA,LAX
37,13038.0,DTLA,LAX
38,13159.0,DTLA,LAX
39,13163.0,DTLA,LAX
