passenger_arrival_time,origin_vertiport_id,destination_vertiport_id,passenger_id
152,SFO,MV,0
152,MV,SFO,1
306,MV,SFO,2
306,SFO,MV,3
453,SFO,MV,4
453,MV,SFO,5
601,SFO,MV,6
601,MV,SFO,7
784,SFO,MV,8
784,MV,SFO,9
945,MV,SFO,10
945,SFO,MV,11
1052,MV,SFO,12
1083,SFO,MV,13
1179,MV,SFO,14
1238,SFO,MV,15
1328,MV,SFO,16
1416,SFO,MV,17
1461,MV,SFO,18
1577,SFO,MV,19
1612,MV,SFO,20
1753,MV,SFO,21
1758,SFO,MV,22
1970,SFO,MV,23
1978,MV,SFO,24
2148,SFO,MV,25
2162,MV,SFO,26
2332,SFO,MV,27
2370,MV,SFO,28
2540,SFO,MV,29
2544,MV,SFO,30
2714,SFO,MV,31
2732,MV,SFO,32
2888,SFO,MV,33
2932,MV,SFO,34
3075,SFO,MV,35
3143,MV,SFO,36
3243,SFO,MV,37
3360,MV,SFO,38
3416,SFO,MV,39
3588,MV,SFO,40
3599,SFO,MV,41
3811,SFO,MV,42
3811,MV,SFO,43
4043,MV,SFO,44
4043,SFO,MV,45
4266,SFO,MV,46
4266,MV,SFO,47
4474,MV,SFO,48
4474,SFO,MV,49
4732,SFO,MV,50
4808,MV,SFO,51
4942,SFO,MV,52
5091,MV,SFO,53
5183,SFO,MV,54
5409,MV,SFO,55
5425,SFO,MV,56
5636,SFO,MV,57
5719,MV,SFO,58
5851,SFO,MV,59
6032,MV,SFO,60
6067,SFO,MV,61
6284,SFO,MV,62
6321,MV,SFO,63
6496,SFO,MV,64
6724,SFO,MV,65
6737,MV,SFO,66
6950,SFO,MV,67
7176,MV,SFO,68
7178,SFO,MV,69
7417,SFO,MV,70
7609,MV,SFO,71
7623,SFO,MV,72
7838,SFO,MV,73
8063,MV,SFO,74
8067,SFO,MV,75
8341,SFO,MV,76
8551,MV,SFO,77
8574,SFO,MV,78
8787,SFO,MV,79
9006,MV,SFO,80
9016,SFO,MV,81
9223,SFO,MV,82
9439,MV,SFO,83
9457,SFO,MV,84
9697,SFO,MV,85
9862,MV,SFO,86
9943,SFO,MV,87
10098,SFO,MV,88
10287,SFO,MV,89
10337,MV,SFO,90
10464,SFO,MV,91
10650,SFO,MV,92
10792,MV,SFO,93
10835,SFO,MV,94
10963,SFO,MV,95
11146,SFO,MV,96
11273,MV,SFO,97
11329,SFO,MV,98
11515,SFO,MV,99
11715,SFO,MV,100
11734,MV,SFO,101
11877,SFO,MV,102
12070,SFO,MV,103
12134,MV,SFO,104
12230,SFO,MV,105
12394,SFO,MV,106
12559,SFO,MV,107
12590,MV,SFO,108
12733,SFO,MV,109
12895,SFO,MV,110
13042,SFO,MV,111
13047,MV,SFO,112
13199,SFO,MV,113
13357,SFO,MV,114
13510,MV,SFO,115
13516,SFO,MV,116
13651,SFO,MV,117
13789,SFO,MV,118
13950,SFO,MV,119
13971,MV,SFO,120
14094,SFO,MV,121
14251,SFO,MV,122
14387,SFO,MV,123
14450,MV,SFO,124
14531,SFO,MV,125
14681,SFO,MV,126
14811,SFO,MV,127
14879,MV,SFO,128
14947,SFO,MV,129
15072,SFO,MV,130
15209,SFO,MV,131
15328,SFO,MV,132
15343,MV,SFO,133
15379,SFO,MV,134
15473,SFO,MV,135
15569,SFO,MV,136
15642,MV,SFO,137
15674,SFO,MV,138
15775,SFO,MV,139
15880,SFO,MV,140
15938,MV,SFO,141
15975,SFO,MV,142
16078,SFO,MV,143
16182,SFO,MV,144
16246,MV,SFO,145
16275,SFO,MV,146
16362,SFO,MV,147
16463,SFO,MV,148
16506,MV,SFO,149
16538,SFO,MV,150
16620,SFO,MV,151
16693,SFO,MV,152
16771,SFO,MV,153
16784,MV,SFO,154
16847,SFO,MV,155
16940,SFO,MV,156
17022,SFO,MV,157
17087,MV,SFO,158
17110,SFO,MV,159
17171,SFO,MV,160
17230,SFO,MV,161
17296,SFO,MV,162
17328,MV,SFO,163
17372,SFO,MV,164
17454,SFO,MV,165
17524,SFO,MV,166
17560,MV,SFO,167
17615,SFO,MV,168
17677,SFO,MV,169
17750,SFO,MV,170
17807,MV,SFO,171
17814,SFO,MV,172
17867,SFO,MV,173
17953,SFO,MV,174
18025,SFO,MV,175
18029,MV,SFO,176
18059,SFO,MV,177
18126,SFO,MV,178
18187,SFO,MV,179
18193,MV,SFO,180
18251,SFO,MV,181
18312,SFO,MV,182
18353,MV,SFO,183
18385,SFO,MV,184
18449,SFO,MV,185
18501,SFO,MV,186
18517,MV,SFO,187
18578,SFO,MV,188
18638,SFO,MV,189
18682,MV,SFO,190
18700,SFO,MV,191
18754,SFO,MV,192
18824,SFO,MV,193
18844,MV,SFO,194
18895,SFO,MV,195
18935,SFO,MV,196
18986,SFO,MV,197
19032,SFO,MV,198
19088,SFO,MV,199
19093,MV,SFO,200
19130,SFO,MV,201
19163,SFO,MV,202
19205,SFO,MV,203
19256,SFO,MV,204
19269,MV,SFO,205
19299,SFO,MV,206
19339,SFO,MV,207
19372,SFO,MV,208
19425,SFO,MV,209
19457,MV,SFO,210
19467,SFO,MV,211
19516,SFO,MV,212
19561,SFO,MV,213
19607,SFO,MV,214
19646,MV,SFO,215
19661,SFO,MV,216
19709,SFO,MV,217
19759,SFO,MV,218
19835,MV,SFO,219
19838,SFO,MV,220
19878,SFO,MV,221
19913,SFO,MV,222
19929,MV,SFO,223
19950,SFO,MV,224
19983,SFO,MV,225
20023,SFO,MV,226
20047,MV,SFO,227
20071,SFO,MV,228
20114,SFO,MV,229
20163,SFO,MV,230
20186,MV,SFO,231
20206,SFO,MV,232
20250,SFO,MV,233
20284,SFO,MV,234
20309,MV,SFO,235
20322,SFO,MV,236
20369,SFO,MV,237
20422,SFO,MV,238
20444,MV,SFO,239
20468,SFO,MV,240
20509,SFO,MV,241
20536,SFO,MV,242
20560,MV,SFO,243
20570,SFO,MV,244
20606,SFO,MV,245
20643,SFO,MV,246
20690,SFO,MV,247
20691,MV,SFO,248
20726,SFO,MV,249
20741,SFO,MV,250
20768,SFO,MV,251
20801,SFO,MV,252
20832,SFO,MV,253
20833,MV,SFO,254
20862,SFO,MV,255
20899,SFO,MV,256
20941,SFO,MV,257
20947,MV,SFO,258
20986,SFO,MV,259
21020,SFO,MV,260
21054,SFO,MV,261
21067,MV,SFO,262
21093,SFO,MV,263
21133,SFO,MV,264
21176,MV,SFO,265
21176,SFO,MV,266
21212,SFO,MV,267
21262,SFO,MV,268
21296,MV,SFO,269
21296,SFO,MV,270
21330,SFO,MV,271
21383,SFO,MV,272
21399,MV,SFO,273
21426,SFO,MV,274
21461,SFO,MV,275
21490,MV,SFO,276
21498,SFO,MV,277
21532,SFO,MV,278
21570,SFO,MV,279
21596,MV,SFO,280
21646,SFO,MV,281
21685,SFO,MV,282
21696,MV,SFO,283
21727,SFO,MV,284
21779,SFO,MV,285
21801,MV,SFO,286
21807,SFO,MV,287
21839,SFO,MV,288
21870,SFO,MV,289
21902,MV,SFO,290
21907,SFO,MV,291
21942,SFO,MV,292
21990,SFO,MV,293
22007,MV,SFO,294
22030,SFO,MV,295
22068,SFO,MV,296
22102,SFO,MV,297
22102,MV,SFO,298
22137,SFO,MV,299
22177,SFO,MV,300
22205,MV,SFO,301
22213,SFO,MV,302
22260,SFO,MV,303
22294,SFO,MV,304
22309,MV,SFO,305
22324,SFO,MV,306
22368,SFO,MV,307
22402,MV,SFO,308
22409,SFO,MV,309
22442,SFO,MV,310
22484,SFO,MV,311
22508,MV,SFO,312
22540,SFO,MV,313
22580,SFO,MV,314
22601,MV,SFO,315
22609,SFO,MV,316
22650,SFO,MV,317
22676,MV,SFO,318
22683,SFO,MV,319
22723,SFO,MV,320
22758,MV,SFO,321
22764,SFO,MV,322
22820,SFO,MV,323
22831,MV,SFO,324
22863,SFO,MV,325
22902,SFO,MV,326
22909,MV,SFO,327
22947,SFO,MV,328
22985,SFO,MV,329
22985,MV,SFO,330
23028,SFO,MV,331
23062,SFO,MV,332
23078,MV,SFO,333
23103,SFO,MV,334
23144,SFO,MV,335
23160,MV,SFO,336
23183,SFO,MV,337
23223,SFO,MV,338
23248,MV,SFO,339
23273,SFO,MV,340
23305,SFO,MV,341
23331,MV,SFO,342
23358,SFO,MV,343
23390,SFO,MV,344
23402,MV,SFO,345
23428,SFO,MV,346
23432,SFO,MV,347
23466,MV,SFO,348
23470,SFO,MV,349
23513,SFO,MV,350
23536,SFO,MV,351
23542,MV,SFO,352
23578,SFO,MV,353
23614,SFO,MV,354
23624,MV,SFO,355
23651,SFO,MV,356
23683,SFO,MV,357
23694,MV,SFO,358
23725,SFO,MV,359
23766,SFO,MV,360
23785,MV,SFO,361
23801,SFO,MV,362
23840,SFO,MV,363
23847,MV,SFO,364
23878,SFO,MV,365
23920,MV,SFO,366
23936,SFO,MV,367
23965,SFO,MV,368
23984,MV,SFO,369
24006,SFO,MV,370
24037,MV,SFO,371
24042,SFO,MV,372
24084,SFO,MV,373
24123,MV,SFO,374
24128,SFO,MV,375
24164,SFO,MV,376
24191,SFO,MV,377
24195,MV,SFO,378
24229,SFO,MV,379
24259,SFO,MV,380
24259,MV,SFO,381
24331,MV,SFO,382
24341,SFO,MV,383
24356,MV,SFO,384
24378,SFO,MV,385
24416,MV,SFO,386
24421,SFO,MV,387
24468,SFO,MV,388
24473,MV,SFO,389
24507,SFO,MV,390
24541,MV,SFO,391
24541,SFO,MV,392
24588,SFO,MV,393
24601,MV,SFO,394
24627,SFO,MV,395
24649,MV,SFO,396
24665,SFO,MV,397
24695,SFO,MV,398
24721,MV,SFO,399
24732,SFO,MV,400
24774,SFO,MV,401
24777,MV,SFO,402
24817,SFO,MV,403
24835,MV,SFO,404
24854,SFO,MV,405
24885,MV,SFO,406
24895,SFO,MV,407
24941,SFO,MV,408
24950,MV,SFO,409
24984,SFO,MV,410
25014,SFO,MV,411
25017,MV,SFO,412
25051,SFO,MV,413
25064,MV,SFO,414
25081,SFO,MV,415
25124,SFO,MV,416
25128,MV,SFO,417
25179,SFO,MV,418
25186,MV,SFO,419
25226,SFO,MV,420
25238,SFO,MV,421
25270,MV,SFO,422
25276,SFO,MV,423
25307,SFO,MV,424
25324,MV,SFO,425
25345,SFO,MV,426
25368,MV,SFO,427
25380,SFO,MV,428
25407,SFO,MV,429
25422,MV,SFO,430
25439,SFO,MV,431
25472,SFO,MV,432
25486,MV,SFO,433
25498,SFO,MV,434
25528,SFO,MV,435
25541,MV,SFO,436
25571,SFO,MV,437
25593,MV,SFO,438
25601,SFO,MV,439
25637,MV,SFO,440
25637,SFO,MV,441
25672,SFO,MV,442
25704,MV,SFO,443
25707,SFO,MV,444
25749,SFO,MV,445
25758,MV,SFO,446
25786,SFO,MV,447
25820,MV,SFO,448
25821,SFO,MV,449
25858,SFO,MV,450
25877,MV,SFO,451
25891,SFO,MV,452
25920,SFO,MV,453
25936,MV,SFO,454
25959,SFO,MV,455
26003,MV,SFO,456
26005,SFO,MV,457
26039,SFO,MV,458
26063,MV,SFO,459
26151,SFO,MV,460
26156,MV,SFO,461
26186,SFO,MV,462
26207,MV,SFO,463
26223,SFO,MV,464
26257,SFO,MV,465
26261,MV,SFO,466
26304,SFO,MV,467
26309,MV,SFO,468
26342,SFO,MV,469
26360,MV,SFO,470
26384,SFO,MV,471
26414,MV,SFO,472
26417,SFO,MV,473
26467,SFO,MV,474
26477,MV,SFO,475
26505,SFO,MV,476
26535,MV,SFO,477
26536,SFO,MV,478
26582,SFO,MV,479
26599,MV,SFO,480
26612,SFO,MV,481
26647,SFO,MV,482
26656,MV,SFO,483
26685,SFO,MV,484
26715,MV,SFO,485
26725,SFO,MV,486
26762,MV,SFO,487
26766,SFO,MV,488
26803,SFO,MV,489
26814,MV,SFO,490
26837,SFO,MV,491
26874,SFO,MV,492
26876,MV,SFO,493
26919,SFO,MV,494
26946,MV,SFO,495
26973,SFO,MV,496
27006,MV,SFO,497
27021,SFO,MV,498
27034,MV,SFO,499
27036,SFO,MV,500
27062,MV,SFO,501
27071,SFO,MV,502
27076,MV,SFO,503
27101,SFO,MV,504
27120,MV,SFO,505
27134,SFO,MV,506
27165,MV,SFO,507
27178,SFO,MV,508
27217,SFO,MV,509
27221,MV,SFO,510
27255,SFO,MV,511
27265,MV,SFO,512
27300,SFO,MV,513
27315,MV,SFO,514
27341,SFO,MV,515
27349,MV,SFO,516
27384,SFO,MV,517
27390,MV,SFO,518
27428,MV,SFO,519
27429,SFO,MV,520
27466,MV,SFO,521
27478,SFO,MV,522
27511,MV,SFO,523
27513,SFO,MV,524
27551,SFO,MV,525
27561,MV,SFO,526
27581,SFO,MV,527
27615,MV,SFO,528
27620,SFO,MV,529
27657,MV,SFO,530
27664,SFO,MV,531
27699,MV,SFO,532
27701,SFO,MV,533
27747,MV,SFO,534
27749,SFO,MV,535
27795,MV,SFO,536
27799,SFO,MV,537
27831,SFO,MV,538
27847,MV,SFO,539
27862,SFO,MV,540
27913,SFO,MV,541
27935,SFO,MV,542
27942,MV,SFO,543
27966,SFO,MV,544
27999,MV,SFO,545
28013,SFO,MV,546
28038,MV,SFO,547
28062,SFO,MV,548
28078,MV,SFO,549
28102,SFO,MV,550
28138,SFO,MV,551
28138,MV,SFO,552
28176,SFO,MV,553
28187,MV,SFO,554
28225,SFO,MV,555
28227,MV,SFO,556
28268,SFO,MV,557
28269,MV,SFO,558
28308,SFO,MV,559
28308,MV,SFO,560
28352,MV,SFO,561
28353,SFO,MV,562
28397,SFO,MV,563
28405,MV,SFO,564
28435,SFO,MV,565
28450,MV,SFO,566
28473,SFO,MV,567
28498,MV,SFO,568
28514,SFO,MV,569
28556,MV,SFO,570
28561,SFO,MV,571
28589,MV,SFO,572
28598,SFO,MV,573
28626,MV,SFO,574
28643,SFO,MV,575
28662,MV,SFO,576
28676,SFO,MV,577
28705,MV,SFO,578
28706,SFO,MV,579
28738,SFO,MV,580
28745,MV,SFO,581
28787,SFO,MV,582
28800,MV,SFO,583
28834,SFO,MV,584
28837,SFO,MV,585
28851,MV,SFO,586
28881,SFO,MV,587
28900,MV,SFO,588
28923,SFO,MV,589
28944,MV,SFO,590
28962,SFO,MV,591
28990,MV,SFO,592
29002,SFO,MV,593
29040,MV,SFO,594
29045,SFO,MV,595
29086,MV,SFO,596
29089,SFO,MV,597
29138,SFO,MV,598
29145,MV,SFO,599
29174,SFO,MV,600
29190,MV,SFO,601
29213,SFO,MV,602
29229,MV,SFO,603
29248,SFO,MV,604
29284,SFO,MV,605
29284,MV,SFO,606
29315,SFO,MV,607
29336,MV,SFO,608
29342,SFO,MV,609
29379,SFO,MV,610
29379,MV,SFO,611
29422,SFO,MV,612
29433,MV,SFO,613
29465,SFO,MV,614
29484,MV,SFO,615
29497,SFO,MV,616
29529,SFO,MV,617
29535,MV,SFO,618
29568,SFO,MV,619
29573,MV,SFO,620
29601,SFO,MV,621
29625,MV,SFO,622
29631,SFO,MV,623
29667,SFO,MV,624
29668,MV,SFO,625
29739,SFO,MV,626
29749,MV,SFO,627
29783,SFO,MV,628
29798,MV,SFO,629
29835,SFO,MV,630
29864,MV,SFO,631
29875,SFO,MV,632
29910,SFO,MV,633
29915,MV,SFO,634
29960,SFO,MV,635
29962,MV,SFO,636
30003,SFO,MV,637
30016,MV,SFO,638
30053,SFO,MV,639
30062,MV,SFO,640
30100,SFO,MV,641
30113,MV,SFO,642
30133,SFO,MV,643
30154,MV,SFO,644
30167,SFO,MV,645
30204,MV,SFO,646
30211,SFO,MV,647
30250,SFO,MV,648
30254,MV,SFO,649
30284,SFO,MV,650
30301,MV,SFO,651
30325,SFO,MV,652
30349,MV,SFO,653
30364,SFO,MV,654
30403,SFO,MV,655
30408,MV,SFO,656
30444,SFO,MV,657
30448,MV,SFO,658
30479,SFO,MV,659
30511,MV,SFO,660
30518,SFO,MV,661
30557,MV,SFO,662
30559,SFO,MV,663
30593,SFO,MV,664
30596,MV,SFO,665
30632,SFO,MV,666
30640,SFO,MV,667
30642,MV,SFO,668
30651,MV,SFO,669
30681,MV,SFO,670
30685,SFO,MV,671
30721,SFO,MV,672
30732,MV,SFO,673
30753,SFO,MV,674
30776,MV,SFO,675
30786,SFO,MV,676
30821,MV,SFO,677
30829,SFO,MV,678
30861,MV,SFO,679
30873,SFO,MV,680
30909,SFO,MV,681
30912,MV,SFO,682
30950,SFO,MV,683
30961,MV,SFO,684
30998,SFO,MV,685
31004,MV,SFO,686
31035,SFO,MV,687
31052,MV,SFO,688
31080,SFO,MV,689
31098,MV,SFO,690
31125,SFO,MV,691
31166,SFO,MV,692
31167,MV,SFO,693
31204,MV,SFO,694
31215,SFO,MV,695
31251,SFO,MV,696
31253,MV,SFO,697
31296,SFO,MV,698
31297,MV,SFO,699
31340,SFO,MV,700
31347,MV,SFO,701
31379,SFO,MV,702
31400,MV,SFO,703
31428,SFO,MV,704
31444,MV,SFO,705
31478,MV,SFO,706
31479,SFO,MV,707
31517,SFO,MV,708
31533,SFO,MV,709
31546,MV,SFO,710
31578,SFO,MV,711
31584,MV,SFO,712
31617,SFO,MV,713
31633,MV,SFO,714
31655,SFO,MV,715
31678,MV,SFO,716
31698,SFO,MV,717
31729,MV,SFO,718
31740,SFO,MV,719
31776,SFO,MV,720
31785,MV,SFO,721
31816,SFO,MV,722
31832,MV,SFO,723
31858,SFO,MV,724
31874,MV,SFO,725
31901,SFO,MV,726
31930,MV,SFO,727
31954,SFO,MV,728
31977,MV,SFO,729
31998,SFO,MV,730
32023,MV,SFO,731
32058,SFO,MV,732
32061,MV,SFO,733
32092,SFO,MV,734
32106,MV,SFO,735
32151,SFO,MV,736
32157,MV,SFO,737
32196,SFO,MV,738
32209,MV,SFO,739
32253,SFO,MV,740
32254,MV,SFO,741
32292,SFO,MV,742
32304,MV,SFO,743
32325,SFO,MV,744
32359,MV,SFO,745
32362,SFO,MV,746
32395,SFO,MV,747
32411,MV,SFO,748
32438,SFO,MV,749
32440,MV,SFO,750
32478,SFO,MV,751
32488,MV,SFO,752
32515,SFO,MV,753
32528,MV,SFO,754
32554,SFO,MV,755
32582,MV,SFO,756
32587,SFO,MV,757
32635,SFO,MV,758
32650,MV,SFO,759
32676,SFO,MV,760
32709,MV,SFO,761
32709,SFO,MV,762
32754,SFO,MV,763
32760,MV,SFO,764
32793,SFO,MV,765
32810,MV,SFO,766
32836,SFO,MV,767
32853,MV,SFO,768
32877,SFO,MV,769
32903,MV,SFO,770
32934,SFO,MV,771
32950,MV,SFO,772
32980,SFO,MV,773
32988,MV,SFO,774
33016,SFO,MV,775
33032,MV,SFO,776
33063,SFO,MV,777
33077,MV,SFO,778
33101,SFO,MV,779
33119,MV,SFO,780
33141,SFO,MV,781
33175,MV,SFO,782
33187,SFO,MV,783
33217,MV,SFO,784
33226,SFO,MV,785
33266,MV,SFO,786
33278,SFO,MV,787
33346,SFO,MV,788
33347,MV,SFO,789
33390,SFO,MV,790
33395,MV,SFO,791
33423,SFO,MV,792
33451,MV,SFO,793
33472,SFO,MV,794
33501,MV,SFO,795
33517,SFO,MV,796
33548,MV,SFO,797
33553,SFO,MV,798
33598,MV,SFO,799
33601,SFO,MV,800
33643,MV,SFO,801
33657,SFO,MV,802
33683,MV,SFO,803
33699,SFO,MV,804
33735,MV,SFO,805
33736,SFO,MV,806
33772,SFO,MV,807
