passenger_arrival_time,origin_vertiport_id,destination_vertiport_id,passenger_id
152,SFO,SJ,0
152,SJ,SFO,1
306,SJ,SFO,2
306,SFO,SJ,3
453,SFO,SJ,4
453,SJ,SFO,5
601,SFO,SJ,6
601,SJ,SFO,7
784,SFO,SJ,8
784,SJ,SFO,9
945,SJ,SFO,10
945,SFO,SJ,11
1052,SJ,SFO,12
1083,SFO,SJ,13
1179,SJ,SFO,14
1238,SFO,SJ,15
1328,SJ,SFO,16
1416,SFO,SJ,17
1461,SJ,SFO,18
1577,SFO,SJ,19
1612,SJ,SFO,20
1753,SJ,SFO,21
1758,SFO,SJ,22
1970,SFO,SJ,23
1978,SJ,SFO,24
2148,SFO,SJ,25
2162,SJ,SFO,26
2332,SFO,SJ,27
2370,SJ,SFO,28
2540,SFO,SJ,29
2544,SJ,SFO,30
2714,SFO,SJ,31
2732,SJ,SFO,32
2888,SFO,SJ,33
2932,SJ,SFO,34
3075,SFO,SJ,35
3143,SJ,SFO,36
3243,SFO,SJ,37
3360,SJ,SFO,38
3416,SFO,SJ,39
3588,SJ,SFO,40
3599,SFO,SJ,41
3811,SFO,SJ,42
3811,SJ,SFO,43
4043,SJ,SFO,44
4043,SFO,SJ,45
4266,SFO,SJ,46
4266,SJ,SFO,47
4474,SJ,SFO,48
4474,SFO,SJ,49
4732,SFO,SJ,50
4808,SJ,SFO,51
4942,SFO,SJ,52
5091,SJ,SFO,53
5183,SFO,SJ,54
5409,SJ,SFO,55
5425,SFO,SJ,56
5636,SFO,SJ,57
5719,SJ,SFO,58
5851,SFO,SJ,59
6032,SJ,SFO,60
6067,SFO,SJ,61
6284,SFO,SJ,62
6321,SJ,SFO,63
6496,SFO,SJ,64
6724,SFO,SJ,65
6737,SJ,SFO,66
6950,SFO,SJ,67
7176,SJ,SFO,68
7178,SFO,SJ,69
7417,SFO,SJ,70
7609,SJ,SFO,71
7623,SFO,SJ,72
7838,SFO,SJ,73
8063,SJ,SFO,74
8067,SFO,SJ,75
8341,SFO,SJ,76
8551,SJ,SFO,77
8574,SFO,SJ,78
8787,SFO,SJ,79
9006,SJ,SFO,80
9016,SFO,SJ,81
9223,SFO,SJ,82
9439,SJ,SFO,83
9457,SFO,SJ,84
9697,SFO,SJ,85
9862,SJ,SFO,86
9943,SFO,SJ,87
10098,SFO,SJ,88
10287,SFO,SJ,89
10337,SJ,SFO,90
10464,SFO,SJ,91
10650,SFO,SJ,92
10792,SJ,SFO,93
10835,SFO,SJ,94
10963,SFO,SJ,95
11146,SFO,SJ,96
11273,SJ,SFO,97
11329,SFO,SJ,98
11515,SFO,SJ,99
11715,SFO,SJ,100
11734,SJ,SFO,101
11877,SFO,SJ,102
12070,SFO,SJ,103
12134,SJ,SFO,104
12230,SFO,SJ,105
12394,SFO,SJ,106
12559,SFO,SJ,107
12590,SJ,SFO,108
12733,SFO,SJ,109
12895,SFO,SJ,110
13042,SFO,SJ,111
13047,SJ,SFO,112
13199,SFO,SJ,113
13357,SFO,SJ,114
13510,SJ,SFO,115
13516,SFO,SJ,116
13651,SFO,SJ,117
13789,SFO,SJ,118
13950,SFO,SJ,119
13971,SJ,SFO,120
14094,SFO,SJ,121
14251,SFO,SJ,122
14387,SFO,SJ,123
14450,SJ,SFO,124
14531,SFO,SJ,125
14681,SFO,SJ,126
14811,SFO,SJ,127
14879,SJ,SFO,128
14947,SFO,SJ,129
15072,SFO,SJ,130
15209,SFO,SJ,131
15328,SFO,SJ,132
15343,SJ,SFO,133
15379,SFO,SJ,134
15473,SFO,SJ,135
15569,SFO,SJ,136
15642,SJ,SFO,137
15674,SFO,SJ,138
15775,SFO,SJ,139
15880,SFO,SJ,140
15938,SJ,SFO,141
15975,SFO,SJ,142
16078,SFO,SJ,143
16182,SFO,SJ,144
16246,SJ,SFO,145
16275,SFO,SJ,146
16362,SFO,SJ,147
16463,SFO,SJ,148
16506,SJ,SFO,149
16538,SFO,SJ,150
16620,SFO,SJ,151
16693,SFO,SJ,152
16771,SFO,SJ,153
16784,SJ,SFO,154
16847,SFO,SJ,155
16940,SFO,SJ,156
17022,SFO,SJ,157
17087,SJ,SFO,158
17110,SFO,SJ,159
17171,SFO,SJ,160
17230,SFO,SJ,161
17296,SFO,SJ,162
