passenger_arrival_time,origin_vertiport_id,destination_vertiport_id,passenger_id
152,SFO,SJC,0
152,SJC,SFO,1
306,SJC,SFO,2
306,SFO,SJC,3
453,SFO,SJC,4
453,SJC,SFO,5
601,SFO,SJC,6
601,SJC,SFO,7
784,SFO,SJC,8
784,SJC,SFO,9
945,SJC,SFO,10
945,SFO,SJC,11
1052,SJC,SFO,12
1083,SFO,SJC,13
1179,SJC,SFO,14
1238,SFO,SJC,15
1328,SJC,SFO,16
1416,SFO,SJC,17
1461,SJC,SFO,18
1577,SFO,SJC,19
1612,SJC,SFO,20
1753,SJC,SFO,21
1758,SFO,SJC,22
1970,SFO,SJC,23
1978,SJC,SFO,24
2148,SFO,SJC,25
2162,SJC,SFO,26
2332,SFO,SJC,27
2370,SJC,SFO,28
2540,SFO,SJC,29
2544,SJC,SFO,30
2714,SFO,SJC,31
2732,SJC,SFO,32
2888,SFO,SJC,33
2932,SJC,SFO,34
3075,SFO,SJC,35
3143,SJC,SFO,36
3243,SFO,SJC,37
3360,SJC,SFO,38
3416,SFO,SJC,39
3588,SJC,SFO,40
3599,SFO,SJC,41
3811,SFO,SJC,42
3811,SJC,SFO,43
4043,SJC,SFO,44
4043,SFO,SJC,45
4266,SFO,SJC,46
4266,SJC,SFO,47
4474,SJC,SFO,48
4474,SFO,SJC,49
4732,SFO,SJC,50
4808,SJC,SFO,51
4942,SFO,SJC,52
5091,SJC,SFO,53
5183,SFO,SJC,54
5409,SJC,SFO,55
5425,SFO,SJC,56
5636,SFO,SJC,57
5719,SJC,SFO,58
5851,SFO,SJC,59
6032,SJC,SFO,60
6067,SFO,SJC,61
6284,SFO,SJC,62
6321,SJC,SFO,63
6496,SFO,SJC,64
6724,SFO,SJC,65
6737,SJC,SFO,66
6950,SFO,SJC,67
7176,SJC,SFO,68
7178,SFO,SJC,69
7417,SFO,SJC,70
7609,SJC,SFO,71
7623,SFO,SJC,72
7838,SFO,SJC,73
8063,SJC,SFO,74
8067,SFO,SJC,75
8341,SFO,SJC,76
8551,SJC,SFO,77
8574,SFO,SJC,78
8787,SFO,SJC,79
9006,SJC,SFO,80
9016,SFO,SJC,81
9223,SFO,SJC,82
9439,SJC,SFO,83
9457,SFO,SJC,84
9697,SFO,SJC,85
9862,SJC,SFO,86
9943,SFO,SJC,87
10098,SFO,SJC,88
10287,SFO,SJC,89
