passenger_arrival_time,origin_vertiport_id,destination_vertiport_id,passenger_id
152,SFO,SANTACRUZ,0
152,SANTACRUZ,SFO,1
306,SFO,SANTACRUZ,2
306,SANTACRUZ,SFO,3
453,SFO,SANTACRUZ,4
453,SANTACRUZ,SFO,5
601,SFO,SANTACRUZ,6
601,SANTACRUZ,SFO,7
784,SFO,SANTACRUZ,8
784,SANTACRUZ,SFO,9
945,SANTACRUZ,SFO,10
945,SFO,SANTACRUZ,11
1083,SFO,SANTACRUZ,12
1083,SANTACRUZ,SFO,13
1238,SFO,SANTACRUZ,14
1238,SANTACRUZ,SFO,15
1416,SFO,SANTACRUZ,16
1416,SANTACRUZ,SFO,17
1577,SFO,SANTACRUZ,18
1577,SANTACRUZ,SFO,19
1758,SFO,SANTACRUZ,20
1758,SANTACRUZ,SFO,21
1970,SFO,SANTACRUZ,22
2014,SANTACRUZ,SFO,23
2148,SFO,SANTACRUZ,24
2237,SANTACRUZ,SFO,25
2332,SFO,SANTACRUZ,26
2467,SANTACRUZ,SFO,27
2540,SFO,SANTACRUZ,28
2714,SFO,SANTACRUZ,29
2723,SANTACRUZ,SFO,30
2888,SFO,SANTACRUZ,31
2993,SANTACRUZ,SFO,32
3075,SFO,SANTACRUZ,33
3243,SFO,SANTACRUZ,34
3303,SANTACRUZ,SFO,35
3416,SFO,SANTACRUZ,36
3599,SFO,SANTACRUZ,37
3611,SANTACRUZ,SFO,38
3811,SFO,SANTACRUZ,39
3884,SANTACRUZ,SFO,40
4043,SFO,SANTACRUZ,41
4174,SANTACRUZ,SFO,42
4266,SFO,SANTACRUZ,43
4474,SFO,SANTACRUZ,44
4477,SANTACRUZ,SFO,45
4732,SFO,SANTACRUZ,46
4930,SANTACRUZ,SFO,47
4942,SFO,SANTACRUZ,48
5183,SFO,SANTACRUZ,49
5389,SANTACRUZ,SFO,50
5425,SFO,SANTACRUZ,51
5636,SFO,SANTACRUZ,52
5848,SANTACRUZ,SFO,53
5851,SFO,SANTACRUZ,54
6067,SFO,SANTACRUZ,55
6274,SANTACRUZ,SFO,56
6284,SFO,SANTACRUZ,57
6496,SFO,SANTACRUZ,58
6724,SFO,SANTACRUZ,59
6760,SANTACRUZ,SFO,60
6950,SFO,SANTACRUZ,61
7178,SFO,SANTACRUZ,62
7189,SANTACRUZ,SFO,63
7417,SFO,SANTACRUZ,64
7623,SFO,SANTACRUZ,65
7672,SANTACRUZ,SFO,66
7838,SFO,SANTACRUZ,67
8067,SFO,SANTACRUZ,68
8146,SANTACRUZ,SFO,69
8341,SFO,SANTACRUZ,70
8574,SFO,SANTACRUZ,71
8787,SFO,SANTACRUZ,72
9016,SFO,SANTACRUZ,73
9022,SANTACRUZ,SFO,74
9223,SFO,SANTACRUZ,75
9457,SFO,SANTACRUZ,76
9697,SFO,SANTACRUZ,77
9880,SANTACRUZ,SFO,78
9943,SFO,SANTACRUZ,79
10098,SFO,SANTACRUZ,80
10287,SFO,SANTACRUZ,81
10464,SFO,SANTACRUZ,82
10650,SFO,SANTACRUZ,83
10782,SANTACRUZ,SFO,84
10835,SFO,SANTACRUZ,85
10963,SFO,SANTACRUZ,86
11146,SFO,SANTACRUZ,87
11329,SFO,SANTACRUZ,88
11515,SFO,SANTACRUZ,89
11684,SANTACRUZ,SFO,90
11715,SFO,SANTACRUZ,91
11877,SFO,SANTACRUZ,92
12070,SFO,SANTACRUZ,93
12230,SFO,SANTACRUZ,94
12394,SFO,SANTACRUZ,95
12541,SANTACRUZ,SFO,96
12559,SFO,SANTACRUZ,97
12733,SFO,SANTACRUZ,98
12895,SFO,SANTACRUZ,99
13042,SFO,SANTACRUZ,100
13199,SFO,SANTACRUZ,101
13357,SFO,SANTACRUZ,102
13506,SANTACRUZ,SFO,103
13516,SFO,SANTACRUZ,104
13651,SFO,SANTACRUZ,105
13789,SFO,SANTACRUZ,106
13950,SFO,SANTACRUZ,107
14094,SFO,SANTACRUZ,108
14251,SFO,SANTACRUZ,109
14387,SFO,SANTACRUZ,110
14402,SANTACRUZ,SFO,111
14531,SFO,SANTACRUZ,112
14681,SFO,SANTACRUZ,113
14811,SFO,SANTACRUZ,114
14855,SANTACRUZ,SFO,115
14947,SFO,SANTACRUZ,116
15072,SFO,SANTACRUZ,117
15209,SFO,SANTACRUZ,118
15294,SANTACRUZ,SFO,119
15328,SFO,SANTACRUZ,120
15379,SFO,SANTACRUZ,121
15473,SFO,SANTACRUZ,122
15569,SFO,SANTACRUZ,123
15674,SFO,SANTACRUZ,124
15723,SANTACRUZ,SFO,125
15775,SFO,SANTACRUZ,126
15880,SFO,SANTACRUZ,127
15975,SFO,SANTACRUZ,128
16078,SFO,SANTACRUZ,129
16160,SANTACRUZ,SFO,130
16182,SFO,SANTACRUZ,131
16275,SFO,SANTACRUZ,132
16362,SFO,SANTACRUZ,133
16463,SFO,SANTACRUZ,134
16504,SANTACRUZ,SFO,135
16538,SFO,SANTACRUZ,136
16620,SFO,SANTACRUZ,137
16693,SFO,SANTACRUZ,138
16771,SFO,SANTACRUZ,139
16823,SANTACRUZ,SFO,140
16847,SFO,SANTACRUZ,141
16940,SFO,SANTACRUZ,142
17022,SFO,SANTACRUZ,143
17110,SFO,SANTACRUZ,144
17132,SANTACRUZ,SFO,145
17171,SFO,SANTACRUZ,146
