passenger_arrival_time,origin_vertiport_id,destination_vertiport_id,passenger_id
152,SFO,STOCKTON,0
152,STOCKTON,SFO,1
306,SFO,STOCKTON,2
306,STOCKTON,SFO,3
453,SFO,STOCKTON,4
453,STOCKTON,SFO,5
601,SFO,STOCKTON,6
601,STOCKTON,SFO,7
784,SFO,STOCKTON,8
784,STOCKTON,SFO,9
945,STOCKTON,SFO,10
945,SFO,STOCKTON,11
1083,SFO,STOCKTON,12
1083,STOCKTON,SFO,13
1238,SFO,STOCKTON,14
1238,STOCKTON,SFO,15
1416,SFO,STOCKTON,16
1416,STOCKTON,SFO,17
1577,SFO,STOCKTON,18
1577,STOCKTON,SFO,19
1758,SFO,STOCKTON,20
1758,STOCKTON,SFO,21
1970,SFO,STOCKTON,22
2014,STOCKTON,SFO,23
2148,SFO,STOCKTON,24
2237,STOCKTON,SFO,25
2332,SFO,STOCKTON,26
2467,STOCKTON,SFO,27
2540,SFO,STOCKTON,28
2714,SFO,STOCKTON,29
2723,STOCKTON,SFO,30
2888,SFO,STOCKTON,31
2993,STOCKTON,SFO,32
3075,SFO,STOCKTON,33
3243,SFO,STOCKTON,34
3303,STOCKTON,SFO,35
3416,SFO,STOCKTON,36
3599,SFO,STOCKTON,37
3611,STOCKTON,SFO,38
3811,SFO,STOCKTON,39
3884,STOCKTON,SFO,40
4043,SFO,STOCKTON,41
4174,STOCKTON,SFO,42
4266,SFO,STOCKTON,43
4474,SFO,STOCKTON,44
4477,STOCKTON,SFO,45
4732,SFO,STOCKTON,46
4930,STOCKTON,SFO,47
4942,SFO,STOCKTON,48
5183,SFO,STOCKTON,49
5389,STOCKTON,SFO,50
5425,SFO,STOCKTON,51
5636,SFO,STOCKTON,52
5848,STOCKTON,SFO,53
5851,SFO,STOCKTON,54
6067,SFO,STOCKTON,55
6274,STOCKTON,SFO,56
6284,SFO,STOCKTON,57
6496,SFO,STOCKTON,58
6724,SFO,STOCKTON,59
6760,STOCKTON,SFO,60
6950,SFO,STOCKTON,61
7178,SFO,STOCKTON,62
7189,STOCKTON,SFO,63
7417,SFO,STOCKTON,64
7623,SFO,STOCKTON,65
7672,STOCKTON,SFO,66
7838,SFO,STOCKTON,67
