SFO_MV,MV_SFO,time_sec
22.0,19.0,0
18.0,10.0,3600
19.0,7.0,7200
23.0,7.0,10800
41.0,11.0,14400
78.0,26.0,18000
91.0,48.0,21600
92.0,71.0,25200
88.0,75.0,28800
82.0,72.0,32400
79.0,72.0,36000
74.0,76.0,39600
68.0,82.0,43200
66.0,88.0,46800
68.0,97.0,50400
68.0,95.0,54000
73.0,92.0,57600
75.0,89.0,61200
68.0,89.0,64800
54.0,82.0,68400
49.0,69.0,72000
48.0,61.0,75600
44.0,49.0,79200
33.0,35.0,82800
22.0,19.0,86400
18.0,10.0,90000
19.0,7.0,93600
23.0,7.0,97200
41.0,11.0,100800
78.0,26.0,104400
91.0,48.0,108000
92.0,71.0,111600
88.0,75.0,115200
82.0,72.0,118800
79.0,72.0,122400
74.0,76.0,126000
68.0,82.0,129600
66.0,88.0,133200
68.0,97.0,136800
68.0,95.0,140400
73.0,92.0,144000
75.0,89.0,147600
68.0,89.0,151200
54.0,82.0,154800
49.0,69.0,158400
48.0,61.0,162000
44.0,49.0,165600
33.0,35.0,169200
22.0,19.0,172800
18.0,10.0,176400
19.0,7.0,180000
23.0,7.0,183600
41.0,11.0,187200
78.0,26.0,190800
91.0,48.0,194400
92.0,71.0,198000
88.0,75.0,201600
82.0,72.0,205200
79.0,72.0,208800
74.0,76.0,212400
68.0,82.0,216000
66.0,88.0,219600
68.0,97.0,223200
68.0,95.0,226800
73.0,92.0,230400
75.0,89.0,234000
68.0,89.0,237600
54.0,82.0,241200
49.0,69.0,244800
48.0,61.0,248400
44.0,49.0,252000
33.0,35.0,255600
22.0,19.0,259200
18.0,10.0,262800
19.0,7.0,266400
23.0,7.0,270000
41.0,11.0,273600
78.0,26.0,277200
91.0,48.0,280800
92.0,71.0,284400
88.0,75.0,288000
82.0,72.0,291600
79.0,72.0,295200
74.0,76.0,298800
68.0,82.0,302400
66.0,88.0,306000
68.0,97.0,309600
68.0,95.0,313200
73.0,92.0,316800
75.0,89.0,320400
68.0,89.0,324000
54.0,82.0,327600
49.0,69.0,331200
48.0,61.0,334800
44.0,49.0,338400
33.0,35.0,342000
22.0,19.0,345600
18.0,10.0,349200
19.0,7.0,352800
23.0,7.0,356400
41.0,11.0,360000
78.0,26.0,363600
91.0,48.0,367200
92.0,71.0,370800
88.0,75.0,374400
82.0,72.0,378000
79.0,72.0,381600
74.0,76.0,385200
68.0,82.0,388800
66.0,88.0,392400
68.0,97.0,396000
68.0,95.0,399600
73.0,92.0,403200
75.0,89.0,406800
68.0,89.0,410400
54.0,82.0,414000
49.0,69.0,417600
48.0,61.0,421200
44.0,49.0,424800
33.0,35.0,428400
22.0,19.0,432000
18.0,10.0,435600
19.0,7.0,439200
23.0,7.0,442800
41.0,11.0,446400
78.0,26.0,450000
91.0,48.0,453600
92.0,71.0,457200
88.0,75.0,460800
82.0,72.0,464400
79.0,72.0,468000
74.0,76.0,471600
68.0,82.0,475200
66.0,88.0,478800
68.0,97.0,482400
68.0,95.0,486000
73.0,92.0,489600
75.0,89.0,493200
68.0,89.0,496800
