SFO_MV,MV_SFO,time_sec
22,19,0
18,10,3600
19,7,7200
23,7,10800
41,11,14400
55,26,18000
15,55,21600
92,71,25200
20,20,28800
42,72,32400
10,10,36000
74,76,39600
68,82,43200
66,88,46800
48,57,50400
15,35,54000
10,10,57600
75,89,61200
68,89,64800
15,15,68400
49,69,72000
48,41,75600
44,49,79200
33,35,82800
0,0,86400
0,0,90000
0,0,93600
0,0,97200
15,15,100800
30,30,104400
45,45,108000
60,60,111600
45,45,115200
30,30,118800
15,15,122400
0,0,126000
0,0,129600
0,0,133200
5,5,136800
10,10,140400
15,15,144000
20,20,147600
25,25,151200
30,30,154800
35,35,158400
40,40,162000
45,45,165600
50,50,169200
55,55,172800
60,60,176400
65,65,180000
70,70,183600
65,65,187200
60,60,190800
55,55,194400
50,50,198000
45,45,201600
40,40,205200
35,35,208800
30,30,212400
25,25,216000
20,20,219600
15,15,223200
10,10,226800
5,5,230400
0,0,234000
0,0,237600
10,10,241200
60,60,244800
10,10,248400
70,70,252000
5,5,255600
30,30,259200
100,100,262800
120,120,266400
10,10,270000
5,5,273600
30,30,277200
10,10,280800
0,0,284400
40,40,288000
50,50,291600
0,0,295200
0,0,298800
10,20,302400
10,20,306000
10,20,309600
40,10,313200
40,10,316800
20,65,320400
65,20,324000
40,10,327600
10,40,331200
60,100,334800
100,60,338400
10,10,342000
30,70,345600
20,40,349200
60,10,352800
20,50,356400
10,10,360000
10,15,363600
50,25,367200
25,50,370800
10,10,374400
