flight_direction,waypoint_id,latitude,longitude,altitude,phase
HHR_WARNER,HHR,33.92413,-118.329296,32.6784,HOVER CLIMB
HHR_WARNER,TESLA,33.92413,-118.329296,133.1784,CLIMB TRANSITION
HHR_WARNER,DIACN,33.895009,-118.308926,914.4,CLIMB
HHR_WARNER,IKSOO,33.88212,-118.344727,914.4,CLIMB
HHR_WARNER,GEOFF,33.898752,-118.382616,914.4,CLIMB
HHR_WARNER,HNSEO,33.920121,-118.402893,914.4,CLIMB
HHR_WARNER,EMOHR,33.956129,-118.438185,914.4,CRUISE
HHR_WARNER,ANJAN,34.081475,-118.473258,914.4,CRUISE
HHR_WARNER,SEOCK,34.132058,-118.486192,914.4,CRUISE
HHR_WARNER,JAWON,34.14645,-118.50859,914.4,CRUISE
HHR_WARNER,ORLND,34.16044,-118.599232,914.4,CRUISE
HHR_WARNER,TPNGA,34.168885,-118.606491,914.4,CRUISE
HHR_WARNER,KROBB,34.174073,-118.605749,737.4948,DESCENT
HHR_WARNER,CNOGA_FAF,34.182062,-118.60464,392.4948,DESCENT TRANSITION
HHR_WARNER,Warner,34.182062,-118.60464,266.7648,HOVER DESCENT
WARNER_HHR,Warner,34.182062,-118.60464,266.7648,HOVER CLIMB
WARNER_HHR,CNOGA,34.182062,-118.60464,367.2648,CLIMB TRANSITION
WARNER_HHR,MLIGN,34.190208,-118.604733,914.4,CLIMB
WARNER_HHR,JMOSS,34.19353,-118.577732,914.4,CLIMB
WARNER_HHR,HISHM,34.159019,-118.496161,914.4,CLIMB
WARNER_HHR,CELIO,34.139029,-118.358134,914.4,CRUISE
WARNER_HHR,MCDFE,34.11551,-118.336224,914.4,CRUISE
WARNER_HHR,LATOF,34.073867,-118.320069,914.4,DESCENT
WARNER_HHR,SCHUT,34.049614,-118.308529,914.4,DESCENT
WARNER_HHR,HUNDI,34.017469,-118.244689,914.4,DESCENT
WARNER_HHR,CAICO,33.952417,-118.229661,914.4,DESCENT
WARNER_HHR,EUSUN,33.940813,-118.243008,914.4,DESCENT TRANSITION
WARNER_HHR,RAZLF,33.937989,-118.273873,914.4,CRUISE
WARNER_HHR,JAHON,33.934375,-118.308904,914.4,CRUISE
WARNER_HHR,EVTOL,33.933821,-118.318896,914.4,DESCENT TRANSITION
WARNER_HHR,TIEGE,33.931206,-118.325002,503.4,DESCENT TRANSITION
WARNER_HHR,TESLA_FAF,33.92413,-118.329296,158.4084,DESCENT TRANSITION
WARNER_HHR,HHR,33.92413,-118.329296,32.6784,HOVER DESCENT
